Influencer;Username;Cidade;Posts;Stories;Feed;Tiktok;Impressoes;Interacoes;Cliques;Video Views;CPE;CTR;CPC;CPV;Engajamento;Engajamento Tiktok;Cliques Tiktok;Impressoes Tiktok;Url Foto Perfil
Caio Mors;-;-;1;1;0;0;4.421;82;56;4.421;R$ 0,02;1,27%;R$ 1,79;R$ 0,02;1,85%;0;0;0;https://framerusercontent.com/images/GaBKmgkgHuT5vTr7Z86TCgYV5I.jpeg
Bru Stocler;-;-;6;6;0;0;27.834;152;22;27.834;R$ 0,00;0,08%;R$ 4,55;R$ 0,00;0,55%;0;0;0;https://framerusercontent.com/images/J2srQWQI7peCNhvSCZQ1VmDjOQ.webp
Cristiamods;-;-;1;1;0;0;49.239;102;56;49.239;R$ 0,00;0,11%;R$ 1,79;R$ 0,00;0,21%;0;0;0;https://framerusercontent.com/images/7rCqtefEhPgQkYFTOaYaWYRE.jpeg
Dacota Monteiro;-;-;6;6;0;0;159.738;456;125;159.738;R$ 0,00;0,08%;R$ 0,80;R$ 0,00;0,29%;0;0;0;https://framerusercontent.com/images/YRZcGhRVgjTtqYtwabMv1bSI.jpeg
DJ Bi Santini;-;-;1;1;0;0;698;55;8;698;R$ 0,13;1,15%;R$ 12,50;R$ 0,14;7,88%;0;0;0;https://framerusercontent.com/images/GTHfnCc2sGr5X75FqPwnqKYcGmE.jpeg
Dj Thasol;-;-;1;1;0;0;525;26;9;525;R$ 0,18;1,71%;R$ 11,11;R$ 0,19;4,95%;0;0;0;https://framerusercontent.com/images/VsNjCLWlyUFXxPd2a0ZRbFA3s0.jpeg
Guigo;-;-;1;1;0;0;2.314;102;56;2.314;R$ 0,04;2,42%;R$ 1,79;R$ 0,04;4,41%;0;0;0;https://framerusercontent.com/images/ozctc2CN225OrSxtXKDHEdoAo.jpeg
Gui Andrade;-;-;1;1;0;0;716;74;66;716;R$ 0,13;9,22%;R$ 1,52;R$ 0,14;10,34%;0;0;0;https://framerusercontent.com/images/swF22rjhHyC3v1z9KPVJ9tq4uo0.jpeg
Gustavao Gom;-;-;1;1;0;0;3.356;96;10;3.356;R$ 0,03;0,30%;R$ 10,00;R$ 0,03;2,86%;0;0;0;https://framerusercontent.com/images/GaBKmgkgHuT5vTr7Z86TCgYV5I.jpeg
Gutierrez Castro;-;-;1;1;0;0;78.162;456;125;78.162;R$ 0,00;0,16%;R$ 0,80;R$ 0,00;0,58%;0;0;0;https://framerusercontent.com/images/J2srQWQI7peCNhvSCZQ1VmDjOQ.webp
Giovanna Collares;-;-;6;6;0;0;6.966;85;16;6.966;R$ 0,01;0,23%;R$ 6,25;R$ 0,01;1,22%;0;0;0;https://framerusercontent.com/images/7rCqtefEhPgQkYFTOaYaWYRE.jpeg
Glamour Garcia;-;-;6;6;0;0;43.824;456;25;43.824;R$ 0,00;0,06%;R$ 4,00;R$ 0,00;1,04%;0;0;0;https://framerusercontent.com/images/YRZcGhRVgjTtqYtwabMv1bSI.jpeg
