Influencer,Username,Cidade,Posts,Stories,Feed,Tiktok,Impressoes,Interacoes,Cliques,Video Views,CPE,CTR,CPC,CPV,Engajamento,Engajamento Tiktok,Cliques Tiktok,Impressoes Tiktok,Url Foto Perfil
 apoloage,,São Paulo,9,9,0,0,189594,,,"189,594",,,,,0.00%,,,,
 Adalto Jr,,São Paulo,3,3,0,0,40391,,,"40,391",,,,,0.00%,,,,
 Arthur Bicalho,,São Paulo, 3, 3,0,0,9258,,,"9,258",,,,,0.00%,,,,
 Beatriz Oliveira,,São Paulo, 0, 0,0,0,748,,,748,,,,,0.00%,,,,
 Bianca Bartholo,,São Paulo, 0, 0,0,0,4,,,4,,,,,0.00%,,,,
 Bibi Tatto,,São Paulo,1,1,0,0,766246,,,"766,246",,,,,0.00%,,,,
 Breno Marinho,,São Paulo, 1, 1,0,0,1516,,,"1,516",,,,,0.00%,,,,
 Carol Azevedo,,São Paulo, 0, 0,0,0,5555,,,"5,555",,,,,0.00%,,,,
 Diego Cenci,,São Paulo, 0, 0,0,0,1049,,,"1,049",,,,,0.00%,,,,
 Emily Fonseca,,São Paulo,1,1,0,0,2719,,,"2,719",,,,,0.00%,,,,
 Fael,,São Paulo, 1, 1,0,0,57969,,,"57,969",,,,,0.00%,,,,
 Faustino Marcelo,,São Paulo, 0, 0,0,0,5645,,,"5,645",,,,,0.00%,,,,
 Fernandinho BeatBox,,São Paulo, 0, 0,0,0,70908,,,"70,908",,,,,0.00%,,,,
 Futrikei Oficial,,São Paulo,1,1,0,0,3913,,,"3,913",,,,,0.00%,,,,
 Gabrielle Cruz,,São Paulo, 1, 1,0,0,2495,,,"2,495",,,,,0.00%,,,,
 Gi Casares,,São Paulo, 0, 0,0,0,1043,,,"1,043",,,,,0.00%,,,,
 Giovanna Collares,,São Paulo, 0, 0,0,0,5083,,,"5,083",,,,,0.00%,,,,
 Gustavo Santana,,São Paulo,2,2,0,0,7816,,,"7,816",,,,,0.00%,,,,
 Heey Cat,,São Paulo,4,4,0,0,68284,,,"68,284",,,,,0.00%,,,,
 Heloisa Souza,,São Paulo,1,1,0,0,878,,,878,,,,,0.00%,,,,
 Isabella Félix,,São Paulo,2,2,0,0,157,,,157,,,,,0.00%,,,,
 Isadora Lara,,São Paulo,6,6,0,0,2169,,,"2,169",,,,,0.00%,,,,
 Kauana Hofemã,,São Paulo,2,2,0,0,392465,,,"392,465",,,,,0.00%,,,,
 Lipão,,São Paulo,2,2,0,0,911,,,911,,,,,0.00%,,,,
 Luana Chaves,,São Paulo,2,2,0,0,4233,,,"4,233",,,,,0.00%,,,,
 Luana Gandur,,São Paulo,2,2,0,0,1908,,,"1,908",,,,,0.00%,,,,
 Luane Veras,,São Paulo,7,7,0,0,3730,,,"3,730",,,,,0.00%,,,,
