Influencer,Username,Cidade,Posts,Stories,Feed,Tiktok,Impressoes,Interacoes,Cliques,Video Views,CPE,CTR,CPC,CPV,Engajamento,Engajamento Tiktok,Cliques Tiktok,Impressoes Tiktok,Url Foto Perfil
 apoloage,,São Paulo,9,9,0,0,189594,259,49,"189,594",R$ 0.00,R$ 0.00,R$ 0.00,R$ 0.00,0.00%,,,,
 Adalto Jr,,São Paulo,3,3,0,0,40391,75,69,"40,391",R$ 0.00,R$ 0.00,R$ 0.00,R$ 0.00,0.19%,,,,
 Arthur Bicalho,,São Paulo, 3, 3,0,0,9258,270,94,"9,258",R$ 0.00,R$ 0.00,R$ 0.00,R$ 0.00,2.92%,,,,
 Beatriz Oliveira,,São Paulo, 0, 0,0,0,748,22,51,748,R$ 0.00,R$ 0.00,R$ 0.00,R$ 0.00,2.94%,,,,
 Bianca Bartholo,,São Paulo, 0, 0,0,0,1258,21,24,"1,258",R$ 0.00,R$ 0.00,R$ 0.00,R$ 0.00,1.67%,,,,
 Bibi Tatto,,São Paulo,1,1,0,0,766246,223,12,"766,246",R$ 0.00,R$ 0.00,R$ 0.00,R$ 0.00,0.03%,,,,
 Breno Marinho,,São Paulo, 1, 1,0,0,1516,47,145,"1,516",R$ 0.00,R$ 0.00,R$ 0.00,R$ 0.00,3.10%,,,,
 Carol Azevedo,,São Paulo, 0, 0,0,0,5555,141,43,"5,555",R$ 0.00,R$ 0.00,R$ 0.00,R$ 0.00,2.54%,,,,
 Diego Cenci,,São Paulo, 0, 0,0,0,1049,36,95,"1,049",R$ 0.00,R$ 0.00,R$ 0.00,R$ 0.00,3.43%,,,,
 Emily Fonseca,,São Paulo,1,1,0,0,2719,164,135,"2,719",R$ 0.00,R$ 0.00,R$ 0.00,R$ 0.00,6.03%,,,,
 Fael,,São Paulo, 1, 1,0,0,57969,340,109,"57,969",R$ 0.00,R$ 0.00,R$ 0.00,R$ 0.00,0.59%,,,,
 Faustino Marcelo,,São Paulo, 0, 0,0,0,5645,344,33,"5,645",R$ 0.00,R$ 0.00,R$ 0.00,R$ 0.00,6.09%,,,,
 Fernandinho BeatBox,,São Paulo, 0, 0,0,0,70908,311,105,"70,908",R$ 0.00,R$ 0.00,R$ 0.00,R$ 0.00,0.44%,,,,
