Influencer,Username,Cidade,Posts,Stories,Feed,Tiktok,Impressoes,Interacoes,Cliques,Video Views,CPE,CTR,CPC,CPV,Engajamento,Engajamento Tiktok,Cliques Tiktok,Impressoes Tiktok,Url Foto Perfil
 apoloage,,São Paulo,9,9,0,0,189594,259,49,189594,R$ 0.00,R$ 0.00,R$ 0.00,R$ 0.00,0.00%,0,0,0,
 Adalto Jr,,São Paulo,3,3,0,0,40391,75,69,40391,R$ 0.00,R$ 0.00,R$ 0.00,R$ 0.00,0.19%,0,0,0,
 Arthur Bicalho,,São Paulo, 3, 3,0,0,9258,270,94,9258,R$ 0.00,R$ 0.00,R$ 0.00,R$ 0.00,2.92%,0,0,0,
 Beatriz Oliveira,,São Paulo, 0, 0,0,0,748,22,51,748,R$ 0.00,R$ 0.00,R$ 0.00,R$ 0.00,2.94%,0,0,0,
 Bianca Bartholo,,São Paulo, 0, 0,0,0,1258,21,24,1258,R$ 0.00,R$ 0.00,R$ 0.00,R$ 0.00,1.67%,0,0,0,
 Bibi Tatto,,São Paulo,1,1,0,0,766246,223,12,766246,R$ 0.00,R$ 0.00,R$ 0.00,R$ 0.00,0.03%,0,0,0,
 Breno Marinho,,São Paulo, 1, 1,0,0,1516,47,145,1516,R$ 0.00,R$ 0.00,R$ 0.00,R$ 0.00,3.10%,0,0,0,
 Carol Azevedo,,São Paulo, 0, 0,0,0,5555,141,43,5555,R$ 0.00,R$ 0.00,R$ 0.00,R$ 0.00,2.54%,0,0,0,
 Diego Cenci,,São Paulo, 0, 0,0,0,1049,36,95,1049,R$ 0.00,R$ 0.00,R$ 0.00,R$ 0.00,3.43%,0,0,0,
 Emily Fonseca,,São Paulo,1,1,0,0,2719,164,135,2719,R$ 0.00,R$ 0.00,R$ 0.00,R$ 0.00,6.03%,0,0,0,
 Fael,,São Paulo, 1, 1,0,0,57969,340,109,57969,R$ 0.00,R$ 0.00,R$ 0.00,R$ 0.00,0.59%,0,0,0,
