Influencer,Username,Cidade,Investimento,Posts,Stories,Feed,Tiktok,Impressoes,Interacoes,Cliques,Video Views,CPE,CTR,CPC,CPV,Engajamento,Engajamento Tiktok,Cliques Tiktok,Impressoes Tiktok,Url Foto Perfil
Gabi Verde Limão,gabiverdelimao,São Paulo,4046,9,9,0,0,23419,222,193,23419,R$0.13,0.80%,R$62.46,R$0.13,0.92%,0.00%,0,0,
Paola Santerini,paolasanterini,São Paulo,10125,15,15,0,0,147348,244,220,147030,R$0.05,0.16%,R$53.71,R$0.05,0.15%,0.00%,0,0,
Apezinho 109,apezinho109,Nova Iguaçu,5616,10,7,0,0,41011,838,298,41011,R$0.20,0.50%,R$80.40,R$0.20,1.85%,0.00%,0,0,
Gabriel Jacome,ga.jacome,São Paulo,3146,7,7,0,0,12080,138,62,12080,R$0.20,0.50%,R$47.85,R$0.20,1.03%,0.00%,0,0,
Rafa Baricala,rafabaricala,São Paulo,15522,7,6,0,1,223182,3120,326,224706,R$0.09,0.23%,R$35.47,R$0.09,4.15%,15.80%,112,18247,
Alexia Brito,botaa_po,São Paulo,16529,8,7,1,0,178955,6703,1560,181842,R$0.07,0.89%,R$21.29,R$0.07,2.49%,0.00%,0,0,
Gui Taschetti,guitaschetti,São Paulo,2697,6,6,0,0,7288,105,77,7288,R$0.34,1.16%,R$38.02,R$0.35,1.55%,0.86%,61,11894,
Lica Lopes,licalopes10,São Paulo,20040,12,11,0,1,224648,364,294,226776,R$0.08,0.15%,R$42.40,R$0.09,0.19%,0.00%,0,0,
Marcos Santana,marcostre._,São Paulo,1288,3,3,0,0,11108,50,27,11108,R$0.09,0.24%,R$40.63,R$0.09,0.45%,0.00%,0,0,
Miguel Martinez,migueelmartinezzz,Rio de Janeiro,3434,8,6,1,1,7810,396,112,7953,R$0.32,1.46%,R$29.09,R$0.33,5.24%,14.86%,11,848,
Duda Guimaraes,byduda.g,Maceió,2544,8,6,1,1,15708,463,462,19183,R$0.28,2.93%,R$40.56,R$0.30,2.94%,17.02%,56,329,
Vinicius Rodrigues,,São Paulo,636,2,1,1,0,4531,274,274,4752,R$0.41,3.55%,R$80.08,R$0.41,3.55%,0.00%,0,0,
Rodrigo Espir,rodrigo_spir,São Paulo,1272,4,3,1,0,12328,227,221,11991,R$0.84,0.90%,R$66.62,R$0.85,1.43%,0.00%,0,0,
Bia França,biaz.f,Rio de Janeiro,2544,8,6,1,1,130906,10367,10338,139242,R$0.03,3.42%,R$5.11,R$0.03,3.46%,19.31%,7376,38190,
