Influencer;Username;Cidade;Investimento;Posts;Stories;Feed;Tiktok;Impressoes;Interacoes;Cliques;Video Views;CPE;CTR;CPC;CPV;Engajamento;Engajamento Tiktok;Cliques Tiktok;Impressoes Tiktok;Url Foto Perfil
Adalto Jr;adaltojr;São Paulo;0;2;2;0;0;333.601;0;0;14.091;R$0,10;0,29%;R$20,98;R$0,10;0,64%;0,29%;5456;5456;https://framerusercontent.com/images/GaBKmgkgHuT5vTr7Z86TCgYV5I.jpeg
Andressa Alves;eudessaalves;São Paulo;0;5;5;0;0;109.422;0;0;2.166;R$0,00;0,00%;R$0,00;R$0,00;0,12%;0,00%;0;0;
Biel Romano;bielromano;São Paulo;0;4;4;0;0;1.174.944;0;0;51.180;R$0,00;0,00%;R$0,00;R$0,00;0,00%;0,00%;0;0;
Fernandinho beatbox;bbxfernandinho;São Paulo;0;1;1;0;0;249.033;0;0;12.163;R$0,00;0,00%;R$0,00;R$0,00;0,00%;0,00%;0;0;
Gabriel Moura;gmoura;São Paulo;0;3;3;0;0;583.705;0;111;33344;R$0,11;2,49%;R$4,50;R$0,02;2,49%;2,49%;5456;5456;https://framerusercontent.com/images/GTHfnCc2sGr5X75FqPwnqKYcGmE.jpeg
;;São Paulo;1000;7;7;1850;1850;13123;123123;52;123123;R$0,10;2,49%;R$19,08;R$0,10;2,49%;2,49%;5456;5456;https://framerusercontent.com/images/VsNjCLWlyUFXxPd2a0ZRbFA3s0.jpeg
;;São Paulo;0;0;0;0;0;0;0;0;0;R$0,00;0,00%;R$0,00;R$0,00;0,00%;0,00%;0;0;
;;São Paulo;1000;1;1;1850;1850;13123;12312;30;12312;R$0,06;1,62%;R$3,81;R$0,06;1,62%;1,62%;5456;5456;https://framerusercontent.com/images/swF22rjhHyC3v1z9KPVJ9tq4uo0.jpeg
;;São Paulo;1000;1;1;1850;1850;13123;5456;30;5456;R$0,06;1,62%;R$3,81;R$0,06;1,62%;1,62%;5456;5456;https://framerusercontent.com/images/GaBKmgkgHuT5vTr7Z86TCgYV5I.jpeg
;;São Paulo;1000;1;1;1850;1850;13123;66756;30;66756;R$0,06;1,62%;R$3,81;R$0,06;1,62%;1,62%;5456;5456;https://framerusercontent.com/images/J2srQWQI7peCNhvSCZQ1VmDjOQ.webp
;;São Paulo;1000;1;1;1850;1850;13123;56756;30;56756;R$0,06;1,62%;R$3,81;R$0,06;1,62%;1,62%;5456;5456;https://framerusercontent.com/images/7rCqtefEhPgQkYFTOaYaWYRE.jpeg
;;São Paulo;1000;1;1;1850;1850;13123;55555;30;55555;R$0,06;1,62%;R$3,81;R$0,06;1,62%;1,62%;5456;5456;https://framerusercontent.com/images/YRZcGhRVgjTtqYtwabMv1bSI.jpeg
;;São Paulo;1000;1;1;1850;1850;13123;443332;30;443332;R$0,06;1,62%;R$3,81;R$0,06;1,62%;1,62%;5456;5456;https://framerusercontent.com/images/GTHfnCc2sGr5X75FqPwnqKYcGmE.jpeg
;;São Paulo;1000;1;1;1850;1850;13123;443332;30;443332;R$0,06;1,62%;R$3,81;R$0,06;1,62%;1,62%;5456;5456;https://framerusercontent.com/images/VsNjCLWlyUFXxPd2a0ZRbFA3s0.jpeg
;;São Paulo;1000;1;1;1850;1850;13123;443332;30;443332;R$0,06;1,62%;R$3,81;R$0,06;1,62%;1,62%;5456;5456;https://framerusercontent.com/images/ozctc2CN225OrSxtXKDHEdoAo.jpeg
