Influencer,Username,Cidade,Investimento,Posts,Stories,Feed,Tiktok,Impressoes,Interacoes,Cliques,Video Views,CPE,CTR,CPC,CPV,Engajamento,Engajamento Tiktok,Cliques Tiktok,Impressoes Tiktok,Url Foto Perfil
Adalto Jr,adaltojr,São Paulo,545,2,2,0,0,333.601,0,0,"14,091",R$0.10,0.29%,R$20.98,R$0.10,0.64%,0.00%,0,0,
Andressa Alves,eudessaalves,São Paulo,545,5,5,0,0,109.422,0,0,"2,166",R$0.00,0.00%,R$0.00,R$0.00,0.12%,0.00%,0,0,
Biel Romano,bielromano,São Paulo,545,4,4,0,0,1.174.944,0,0,"51,180",R$0.00,0.00%,R$0.00,R$0.00,0.33%,0.00%,0,0,
Fernandinho beatbox,bbxfernandinho,São Paulo,545,1,1,0,0,249.033,0,0,"12,163",R$0.00,0.00%,R$0.00,R$0.00,1.48%,0.00%,0,0,
Gabriel Moura,gmoura,São Paulo,545,3,3,0,0,583.705,0,0,"1,734",R$0.11,2.49%,R$4.50,R$0.02,0.03%,0.00%,0,0,
Gabriel Ximenez,gabrielximenez,São Paulo,545,2,2,0,0,200.573,0,0,"4,302",R$0.10,2.49%,R$19.08,R$0.10,0.65%,0.00%,0,0,
Joãozinho,ujoaozinho,São Paulo,545,2,2,0,0,4.715.003,0,0,"637,940",R$0.00,0.00%,R$0.00,R$0.00,2.05%,0.00%,0,0,
Juliana Arv,julianaarv,São Paulo,545,2,2,0,0,268.189,0,0,"12,390",R$0.06,1.62%,R$3.81,R$0.06,0.70%,0.00%,0,0,
Luciano ,lucianodvs,São Paulo,545,2,2,0,0,930.217,0,0,"121,561",R$0.06,1.62%,R$3.81,R$0.06,1.98%,0.00%,0,0,
Sander Henrique,sanderneguin,São Paulo,545,2,2,0,0,105.437,0,0,"6,541",R$0.06,1.62%,R$3.81,R$0.06,0.94%,0.00%,0,0,
Waah,warteiro,São Paulo,550,2,2,0,0,256.446,0,0,"9,647",R$0.06,1.62%,R$3.81,R$0.06,0.57%,0.00%,0,0,
