Influencer,Username,Cidade,Investimento,Posts,Stories,Feed,Tiktok,Impressoes,Interacoes,Cliques,Video Views,CPE,CTR,CPC,CPV,Engajamento,Engajamento Tiktok,Cliques Tiktok,Impressoes Tiktok,Url Foto Perfil
Marcelo Mello,marcellomelojr,São Paulo,0,0,0,0,0,0,0,0,0,R$0.00,0.00%,R$0.00,R$0.00,0.00%,0.00%,0,0,
Fernandinho Beatbox,bbxfernandinho,São Paulo,0,18,17,1,0,23351,969,0,23351,R$0.00,0.00%,R$0.00,R$0.00,6.47%,0.00%,0,0,
Fabi Claudino,fabiclaudino,São Paulo,0,0,0,0,0,0,0,0,0,R$0.00,0.00%,R$0.00,R$0.00,0.00%,0.00%,0,0,
Bibi Tatto,bibitatto,São Paulo,0,4,3,0,1,240767,5337,177,235811,R$0.00,0.07%,R$0.00,R$0.00,3.50%,13.67%,0,37468,
André Martinelli,andremartinelli,São Paulo,0,0,0,0,0,0,0,0,0,R$0.00,0.00%,R$0.00,R$0.00,0.00%,0.00%,0,0,
Pele Milflows,pele.milflows,São Paulo,0,0,0,0,0,0,0,0,0,R$0.00,0.00%,R$0.00,R$0.00,0.00%,0.00%,0,0,
Kauana Hofema,kauhofem,São Paulo,0,1,0,1,0,143544,31389,323,0,R$0.00,0.00%,R$0.00,R$0.00,0.00%,0.00%,0,0,
Cris Amaral,crisamaral_,São Paulo,0,0,0,0,0,0,0,0,0,R$0.00,0.00%,R$0.00,R$0.00,0.00%,0.00%,0,0,
Duda Kropf,dudakropf,São Paulo,0,0,0,0,0,0,0,0,0,R$0.00,0.00%,R$0.00,R$0.00,0.00%,0.00%,0,0,
Bruno Magri,brunomagri,São Paulo,0,0,0,0,0,13363,12,10,13362,R$0.00,0.07%,R$0.00,R$0.00,0.09%,0.00%,0,0,
Gabrielle Stacenco,gabistacenco,São Paulo,0,0,0,0,0,0,0,0,0,R$0.00,0.00%,R$0.00,R$0.00,0.00%,0.00%,0,0,
Gustavo Paz,guupaz,São Paulo,0,0,0,0,0,0,0,0,0,R$0.00,0.00%,R$0.00,R$0.00,0.00%,0.00%,0,0,
Vanessa Lopez,vanessalopesr_,São Paulo,0,0,0,0,0,0,0,0,0,R$0.00,0.00%,R$0.00,R$0.00,0.00%,0.00%,0,0,
Camila Loures,camilaloures,São Paulo,35000,4,3,1,0,1123691,23714,163,1152963,R$0.03,0.02%,R$94.47,R$0.03,1.67%,0.00%,0,0,
Caio Castro,caiocastro,São Paulo,54000,3,2,1,0,1211965,3600,0,1211965,R$0.23,0.00%,R$0.00,R$0.23,0.12%,0.00%,0,0,
João Guilherme,joaoguilherme,São Paulo,33000,4,3,1,0,702956,538,0,702956,R$0.05,0.00%,R$0.00,R$0.05,0.08%,0.00%,0,0,
Criolo,criolomc,São Paulo,43200,3,2,1,0,61074,2088,12,63076,R$0.71,0.03%,"R$1,800.00",R$0.75,4.25%,0.00%,0,0,
Felipe Andreoli,andreolifelipe,São Paulo,10000,5,5,0,0,59918,135,14,59918,R$0.17,0.02%,R$714.29,R$0.17,0.23%,0.00%,0,0,
Rafa Brites,rafabrites,São Paulo,14000,7,7,0,0,167630,188,21,167630,R$0.08,0.01%,R$667.00,R$0.08,0.11%,0.00%,0,0,
