Influencer,Username,Cidade,Investimento,Posts,Stories,Feed,Tiktok,Impressoes,Interacoes,Cliques,Video Views,CPE,CTR,CPC,CPV,Engajamento,Engajamento Tiktok,Cliques Tiktok,Impressoes Tiktok,Url Foto Perfil
Bibi Tatto,bibitatto,São Paulo,0,1,1,0,0,69264,60,53,65678,R$0.00,0.08%,R$0.00,R$0.00,0.09%,,,,
Bibi Tatto,bibitatto,São Paulo,0,1,1,0,0,68265,49,38,65017,R$0.00,0.06%,R$0.00,R$0.00,0.07%,,,,
Bibi Tatto,bibitatto,São Paulo,0,1,1,0,0,65770,106,86,62116,R$0.00,0.13%,R$0.00,R$0.00,0.16%,,,,
Bibi Tatto,bibitatto,São Paulo,0,1,0,0,1,37468,5122,0,43000,R$0.00,0.00%,R$0.00,R$0.00,13.67%,"13,67%",0,37468,
Bruno Magri ,brunomagri,São Paulo,0,1,1,0,0,4655,10,10,4655,R$0.00,0.21%,R$0.00,R$0.00,0.21%,,,,
Bruno Magri ,brunomagri,São Paulo,0,1,1,0,0,4404,2,0,4404,R$0.00,0.00%,R$0.00,R$0.00,0.05%,,,,
Bruno Magri ,brunomagri,São Paulo,0,1,1,0,0,4304,0,0,4303,R$0.00,0.00%,R$0.00,R$0.00,0.00%,,,,
Caio Castro,caiocastro,São Paulo,18000,1,1,0,0,51690,8,0,51690,R$0.35,0.00%,R$0.00,R$0.35,0.02%,,,,
Caio Castro,caiocastro,São Paulo,18000,1,1,0,0,56922,9,0,56922,R$0.32,0.00%,R$0.00,R$0.32,0.02%,,,,
Caio Castro,caiocastro,São Paulo,18000,1,0,1,0,1103353,3583,0,1100000,R$0.02,0.00%,R$0.00,R$0.02,0.32%,,,,
Camila Loures,camilaloures,São Paulo,17500,1,0,1,0,355658,23480,0,384930,R$0.05,0.00%,R$0.00,R$0.05,6.60%,,,,
Camila Loures,camilaloures,São Paulo,5833,1,1,0,0,258547,113,88,258547,R$0.02,0.03%,R$66.28,R$0.02,0.04%,,,,
Camila Loures,camilaloures,São Paulo,5833,1,1,0,0,256693,62,36,256693,R$0.02,0.01%,R$162.03,R$0.02,0.02%,,,,
Camila Loures,camilaloures,São Paulo,5833,1,1,0,0,252793,59,39,252793,R$0.02,0.02%,R$149.56,R$0.02,0.02%,,,,
Criolo,criolomc,São Paulo,21600,2,2,0,0,37602,247,12,37602,R$0.57,0.03%,"R$1,800.00",R$0.57,0.66%,,,,
Criolo,criolomc,São Paulo,21600,1,0,1,0,23472,1841,0,25474,R$0.85,0.00%,R$0.00,R$0.92,7.84%,,,,
Felipe Andreoli,andreolifelipe,São Paulo,10000,5,5,0,0,59918,135,14,59918,R$0.17,0.02%,R$714.29,R$0.17,0.23%,,,,
Fernandinho Beatbox,bbxfernandinho,São Paulo,0,17,17,0,0,16086,52,0,16086,R$0.00,0.00%,R$0.00,R$0.00,0.32%,,,,
Fernandinho Beatbox,bbxfernandinho,são Paulo,0,1,0,1,0,7265,917,0,7265,R$0.00,0.00%,R$0.00,R$0.00,12.62%,,,,
João Guilherme,joaoguilherme,São Paulo,55000,5,4,1,0,812558,12045,0,702956,R$0.07,0.00%,R$0.00,R$0.07,1.48%,,,,
Kauana Hofema,kauhofem,São Paulo,0,1,0,1,0,143544,31389,323,0,R$0.00,0.23%,R$0.00,R$0.00,21.87%,,,,
Rafa Brites,rafabrites,São Paulo,14000,7,7,0,0,167630,188,21,167630,R$0.08,0.01%,R$666.67,R$0.08,0.11%,,,,
Vanessa Lopes,vanessalopesr_,São Paulo,9000,1,0,1,0,102918,5754,0,114645,R$0.08,0.00%,R$0.00,R$0.09,5.59%,,,,
Bruno Magri ,brunomagri,São Paulo,0,1,0,0,1,1003,91,0,1003,R$0.00,0.00%,R$0.00,R$0.00,9.07%,,,,
Duda Kropf,dudakropf,São Paulo,0,1,0,0,1,11575,880,0,20000,R$0.00,0.00%,R$0.00,R$0.00,7.60%,,,,
Gustavo Paz,guupaz,São Paulo,0,2,2,0,0,22830,70,47,22830,R$0.00,0.21%,R$0.00,R$0.00,0.31%,,,,
