Influencer,Username,Cidade,Investimento,Posts,Stories,Feed,Tiktok,Impressoes,Interacoes,Cliques,Video Views,CPE,CTR,CPC,CPV,Engajamento,Engajamento Tiktok,Cliques Tiktok,Impressoes Tiktok,Url Foto Perfil
Alice Paiva,,Litoral,200,1,1,0,0,871,22,0,871,R$22.00,0.00%,R$0.00,R$0.23,2.55%,0.00%,0,0,
Allan Neuman,,São Paulo,200,1,1,0,0,1058,26,0,1058,R$0.18,0.00%,R$0.00,R$0.19,2.49%,0.00%,0,0,
Amanda Iohn,,São Paulo,200,1,1,0,0,945,12,0,945,R$0.21,0.00%,R$0.00,R$0.21,1.32%,0.00%,0,0,
Apollo age ,,São Paulo,200,0,0,0,0,0,0,0,0,R$0.00,0.00%,R$0.00,R$0.00,0.00%,0.00%,0,0,
Arthur Bicalho,,São Paulo,200,1,1,0,0,14801,515,0,14801,R$0.01,0.00%,R$0.00,R$0.01,3.48%,0.00%,0,0,
Barbara Avellar,,São Paulo,200,1,1,0,0,1371,14,0,1371,R$0.14,0.00%,R$0.00,R$0.15,1.02%,0.00%,0,0,
Bárbara Carvalho,,São Paulo,200,1,1,0,0,1174,22,0,1174,R$0.17,0.00%,R$0.00,R$0.17,1.86%,0.00%,0,0,
Bella Lopes,,São Paulo,200,1,1,0,0,1409,8,0,1409,R$0.14,0.00%,R$0.00,R$0.14,0.60%,0.00%,0,0,
Camila Viseu ,,São Paulo,200,1,1,0,0,1458,28,0,1458,R$0.13,0.00%,R$0.00,R$0.14,1.93%,0.00%,0,0,
Diego Morttati,,São Paulo,200,1,1,0,0,5559,76,0,5559,R$0.04,0.00%,R$0.00,R$0.04,1.36%,0.00%,0,0,
Emilio Taborda,,São Paulo,200,1,1,0,0,996,10,0,996,R$0.20,0.00%,R$0.00,R$0.20,0.96%,0.00%,0,0,
Gabriela Egglesos,,São Paulo,200,1,1,0,0,1654,6,0,1654,R$0.12,0.00%,R$0.00,R$0.12,0.39%,0.00%,0,0,
Gabriella Moretti,,São Paulo,200,1,1,0,0,8200,123,0,8200,R$0.02,0.00%,R$0.00,R$0.02,1.50%,0.00%,0,0,
Giovanna Collares,,São Paulo,200,1,1,0,0,19900,993,0,19900,R$0.01,0.00%,R$0.00,R$0.01,4.99%,0.00%,0,0,
Hemerson Souza,,São Paulo,200,1,1,0,0,12972,806,0,12972,R$0.01,0.00%,R$0.00,R$0.02,6.21%,0.00%,0,0,
Iago lesser ,,São Paulo,200,1,1,0,0,44516,3490,0,44516,R$0.00,0.00%,R$0.00,R$0.00,7.84%,0.00%,0,0,
Isadora Calegari,,São Paulo,200,1,1,0,0,4129,76,0,4129,R$0.05,0.00%,R$0.00,R$0.05,1.84%,0.00%,0,0,
Isadora Lara,,Santo André,200,1,1,0,0,500,1,0,500,R$0.40,0.00%,R$0.00,R$0.40,0.29%,0.00%,0,0,
João Moura,,São Paulo,200,1,1,0,0,3024,6,0,3024,R$0.07,0.00%,R$0.00,R$0.07,0.19%,0.00%,0,0,
Julia Rezende,,São Paulo,200,1,1,0,0,12972,223,0,12972,R$0.02,0.00%,R$0.00,R$0.02,1.72%,0.00%,0,0,
