Influencer,Username,Cidade,Investimento,Posts,Stories,Feed,Tiktok,Impressoes,Interacoes,Cliques,Video Views,CPE,CTR,CPC,CPV,Engajamento,Engajamento Tiktok,Cliques Tiktok,Impressoes Tiktok,Url Foto Perfil
Apollo,apolloage,São Paulo,"833,33",1,1,0,0,5040,5,0,5040,R$0.00,0.00%,R$0.00,R$0.00,0.09%,0.00%,0,0,
Beatriz Mascotto,biamascotto,São Paulo,"833,33",1,1,0,0,5971,23,0,5971,R$0.00,0.00%,R$0.00,R$0.19,0.00%,0.00%,0,0,
Bella Lopes,bellalopes,São Paulo,"833,33",1,1,0,0,183,3,0,183,R$0.00,0.00%,R$0.00,R$0.21,0.00%,0.00%,0,0,
Bia Lira,bia.lira,São Paulo,"833,33",1,1,0,0,2131,6,0,2131,R$0.00,0.00%,R$0.00,R$0.00,0.00%,0.00%,0,0,
Brida Paraguassú,bridaparaguassú,São Paulo,0,0,0,0,0,0,0,0,0,R$0.00,0.00%,R$0.00,R$0.01,0.00%,0.00%,0,0,
Carolina Marafiga,caro.marafiga,São Paulo,0,0,0,0,0,0,0,0,0,R$0.00,0.00%,R$0.00,R$0.15,0.00%,0.00%,0,0,
Diego Mortatti,thinklord,São Paulo,0,0,0,0,0,0,0,0,0,R$0.00,0.00%,R$0.00,R$0.17,0.00%,0.00%,0,0,
Fael,fael,São Paulo,0,0,0,0,0,0,0,0,0,R$0.00,0.00%,R$0.00,R$0.14,0.00%,0.00%,0,0,
Fernanda Queiroz,fequeirozofc,São Paulo,0,0,0,0,0,0,0,0,0,R$0.00,0.00%,R$0.00,R$0.14,0.00%,0.00%,0,0,
Giovanna Collares,collaressg,São Paulo,"833,33",1,1,0,0,2927,146,0,2927,R$0.00,0.00%,R$0.00,R$0.00,4.99%,0.00%,0,0,
Lika (Livia Martini),liviajmartini,São Paulo,"833,33",1,1,0,0,594,5,0,594,R$0.00,0.00%,R$0.00,R$0.20,0.00%,0.00%,0,0,
Jessica Marisol,jessicamarisoll,São Paulo,0,0,0,0,0,0,0,0,0,R$0.00,0.00%,R$0.00,R$0.12,0.00%,0.00%,0,0,
Julia Rezende,julia.rznd,São Paulo,"833,33",1,1,0,0,2296,17,0,2296,R$0.00,0.00%,R$0.00,R$0.00,0.73%,0.00%,0,0,
Karol Tosta,karoltosta,São Paulo,0,0,0,0,0,0,0,0,0,R$0.00,0.00%,R$0.00,R$0.01,0.00%,0.00%,0,0,
Lika ,oficiallika,São Paulo,"833,33",1,1,0,0,54,1,0,54,R$0.00,0.00%,R$0.00,R$0.00,0.04%,0.00%,0,0,
Luara Lugli,luaralugli,São Paulo,"833,33",1,1,0,0,1118,1,0,1118,R$0.00,0.00%,R$0.00,R$0.00,0.06%,0.00%,0,0,
Pamela Otero,pamelaotero,São Paulo,"833,33",1,1,0,0,219,2,0,219,R$0.00,0.00%,R$0.00,R$0.00,0.00%,0.00%,0,0,
Paulo Gomiz,paulogomiz,São Paulo,"833,33",1,1,0,0,79190,4901,0,79190,R$0.00,0.00%,R$0.00,R$0.00,"6,19%",0.00%,0,0,
Sergio Mota,sermota,São Paulo,"833,33",1,1,0,0,17043,105,0,17043,R$0.00,0.00%,R$0.00,R$0.00,0.73%,0.00%,0,0,
Vitoria Martins,vitoriamartinsb,São Paulo,0,0,0,0,0,0,0,0,0,R$0.00,0.00%,R$0.00,R$0.00,0.00%,0.00%,0,0,
