Influencer,Username,Cidade,Investimento,Posts,Stories,Feed,Tiktok,Impressoes,Interacoes,Cliques,Video Views,CPE,CTR,CPC,CPV,Engajamento,Engajamento Tiktok,Cliques Tiktok,Impressoes Tiktok,Url Foto Perfil
Apollo,apolloage,São Paulo,863,1,1,0,0,5040,5,0,5040,R$0.16,0.00%,R$0.00,R$0.00,0.09%,0.00%,0,0,
Beatriz Mascotto,biamascotto,São Paulo,863,1,1,0,0,5971,23,0,5971,R$0.14,0.00%,R$0.00,R$0.19,0.00%,0.00%,0,0,
Bella Lopes,bellalopes,São Paulo,863,1,1,0,0,183,3,0,183,R$4.48,0.00%,R$0.00,R$0.21,0.00%,0.00%,0,0,
Bia Lira,bia.lira,São Paulo,863,1,1,0,0,2131,6,0,2131,R$0.39,0.00%,R$0.00,R$0.00,0.00%,0.00%,0,0,
Brida Paraguassú,bridaparaguassú,São Paulo,862,0,0,0,0,0,0,0,0,R$0.00,0.00%,R$0.00,R$0.01,0.00%,0.00%,0,0,
Carolina Marafiga,caro.marafiga,São Paulo,862,1,1,0,0,171526,8456,0,171526,R$0.00,0.00%,R$0.00,R$0.15,4.93%,0.00%,0,0,
Diego Mortatti,thinklord,São Paulo,862,1,1,0,0,1263,6,0,1263,R$0.66,0.00%,R$0.00,R$0.66,0.43%,0.00%,0,0,
Fael,fael,São Paulo,862,1,1,0,0,13771,187,0,13771,R$0.06,0.00%,R$0.00,R$0.06,1.36%,0.00%,0,0,
Fernanda Queiroz,fequeirozofc,São Paulo,862,0,0,0,0,0,0,0,0,R$0.00,0.00%,R$0.00,R$0.14,0.00%,0.00%,0,0,
Giovanna Collares,collaressg,São Paulo,862,1,1,0,0,2927,146,0,2927,R$0.27,0.00%,R$0.00,R$0.00,4.99%,0.00%,0,0,
Lika (Livia Martini),liviajmartini,São Paulo,862,1,1,0,0,594,5,0,594,R$1.39,0.00%,R$0.00,R$0.20,0.00%,0.00%,0,0,
Jessica Marisol,jessicamarisoll,São Paulo,862,1,1,0,0,223,1,0,223,R$3.72,0.00%,R$0.00,R$3.74,0.11%,0.00%,0,0,
Julia Rezende,julia.rznd,São Paulo,862,1,1,0,0,2296,17,0,2296,R$0.36,0.00%,R$0.00,R$0.00,0.73%,0.00%,0,0,
Karol Tosta,karoltosta,São Paulo,862,1,1,0,0,913,2,0,913,R$0.91,0.00%,R$0.00,R$0.91,0.19%,0.00%,0,0,
Lika ,oficiallika,São Paulo,862,1,1,0,0,54,1,0,54,R$15.15,0.00%,R$0.00,R$0.00,0.04%,0.00%,0,0,
Luara Lugli,luaralugli,São Paulo,862,1,1,0,0,1118,1,0,1118,R$0.74,0.00%,R$0.00,R$0.00,0.06%,0.00%,0,0,
Pamela Otero,pamelaotero,São Paulo,862,1,1,0,0,219,2,0,219,R$3.77,0.00%,R$0.00,R$0.00,0.00%,0.00%,0,0,
Paulo Gomiz,paulogomiz,São Paulo,862,1,1,0,0,79190,4901,0,79190,R$0.01,0.00%,R$0.00,R$0.00,"6,19%",0.00%,0,0,
Sergio Mota,sermota,São Paulo,862,1,1,0,0,17043,105,0,17043,R$0.05,0.00%,R$0.00,R$0.00,0.73%,0.00%,0,0,
Vitoria Martins,vitoriamartinsb,São Paulo,862,1,1,0,0,401,8,0,401,R$2.11,0.00%,R$0.00,R$2.11,1.89%,0.00%,0,0,
Juliana Gorito,juliana.gorito,São Paulo,862,1,1,0,0,22596,533,0,22596,R$0.04,0.00%,R$0.00,R$0.04,2.36%,0.00%,0,0,
Andressa Castorino,dessacastorino,São Paulo,862,1,1,0,0,128641,598,0,125200,R$0.01,0.00%,R$0.00,R$0.01,0.46%,0.00%,0,0,
Yasmin Tozzi,yasmintozzi,São Paulo,862,0,0,0,0,0,0,0,0,R$0.00,0.00%,R$0.00,R$0.00,0.00%,0.00%,0,0,
Louise Estaniecki,louestaniecki,São Paulo,862,1,1,0,0,40548,3649,0,40548,R$0.02,0.00%,R$0.00,R$0.02,9.00%,0.00%,0,0,
Maria Venture,mariaventure,São Paulo,862,0,0,0,0,0,0,0,0,R$0.00,0.00%,R$0.00,R$0.00,0.00%,0.00%,0,0,
Luiza Parente,luizaparente,São Paulo,862,0,0,0,0,0,0,0,0,R$0.00,0.00%,R$0.00,R$0.00,0.00%,0.00%,0,0,
Malu Camargo,malufca,São Paulo,862,0,0,0,0,0,0,0,0,R$0.00,0.00%,R$0.00,R$0.00,0.00%,0.00%,0,0,
Maria Julia Mazalli,majumazalli,São Paulo,862,0,0,0,0,0,0,0,0,R$0.00,0.00%,R$0.00,R$0.00,0.00%,0.00%,0,0,
Priscila Caliari,pricaliari,São Paulo,862,0,0,0,0,0,0,0,0,R$0.00,0.00%,R$0.00,R$0.00,0.00%,0.00%,0,0,
Diego Santos,iamdimasdelrey,São Paulo,862,1,1,0,0,756,5,0,756,R$1.09,0.00%,R$0.00,R$1.10,0.63%,0.00%,0,0,
Vivian Loi,vivianloii,São Paulo,862,1,1,0,0,340,2,0,340,R$2.44,0.00%,R$0.00,R$2.45,0.06%,0.00%,0,0,
Yá Burihan,yaburihan,Rio de Janeiro,862,1,1,0,0,105748,1099,0,105748,R$0.01,0.00%,R$0.00,R$0.01,1.04%,0.00%,0,0,
Yarley,yarley,Maceio,862,1,1,0,0,375516,13743,0,375516,R$0.01,0.00%,R$0.00,R$0.01,3.66%,0.00%,0,0,
 Amandinha,amandasarmentex,Rio de Janeiro,862,1,1,0,0,1598,13,0,1598,R$0.52,0.00%,R$0.00,R$0.52,0.81%,0.00%,0,0,
 Carol Bresolin ,carolbresolin,São Paulo,862,0,0,0,0,0,0,0,0,R$0.00,0.00%,R$0.00,R$0.00,0.00%,0.00%,0,0,
