Influencer,Username,Cidade,Investimento,Posts,Stories,Feed,Tiktok,Impressoes,Interacoes,Cliques,Video Views,CPE,CTR,CPC,CPV,Engajamento,Engajamento Tiktok,Cliques Tiktok,Impressoes Tiktok,Url Foto Perfil
Thominhas,thominhas,Santo André,400,1,1,0,0,15.617,,,15.617,R$0.25,R$0.00,R$0.00,R$0.00,3.60%,0.00%,0,0,
Victinho,victinho,Belo Horizonte,400,3,3,0,0,2.661,,,2.661,R$0.15,R$0.00,R$0.00,R$0.00,1.38%,0.00%,0,0,
Tp Patisserie,tppatisserie,São Paulo,400,3,3,0,0,498,,,498,R$0.80,R$0.00,R$0.00,R$0.00,0.45%,0.00%,0,0,
Fabi Carrazedo,fabicarrazedo,São Paulo,400,3,3,0,0,1.562,,,1.562,R$0.25,R$0.00,R$0.00,R$0.00,3.71%,0.00%,0,0,
Amanda Bárcia,voceprecisaprovar,São Paulo,400,3,3,0,0,3.552.316,,, 3.552.316,R$0.00,R$0.00,R$0.00,R$0.00,22.42%,0.00%,0,0,
Milene Conte,mileneconte,Campinas,400,5,5,0,0,241,,,241,R$1.65,R$0.00,R$0.00,R$0.00,0.17%,0.00%,0,0,
Vitoria versiani,vitoria_versiani,Minas Gerais,400,1,1,0,0,37.636,,,37.636,R$0.01,R$0.00,R$0.00,R$0.00,8.63%,0.00%,0,0,
Marilia salgueiro,salgueiroma,São Paulo,400,1,1,0,0,22.45,,,22.45,R$0.17,R$0.00,R$0.00,R$0.00,18.13%,0.00%,0,0,
Adalto Jr,adaltojr,São Paulo,400,3,3,0,0,12.708,,,12.708,R$0.03,R$0.00,R$0.00,R$0.00,0.39%,0.00%,0,0,
Diego Mortatti,thinklord,São Paulo,400,1,1,0,0,2.525,,,2.525,R$0.15,R$0.00,R$0.00,R$0.00,0.43%,0.00%,0,0,
Fernandinho BeatBox,bbxfernandinho,São Paulo,400,3,3,0,0,16.084,,,16.084,R$0.02,R$0.00,R$0.00,R$0.00,0.94%,0.00%,0,0,
Gabriel Jacome,ga.jacome,São Paulo,400,3,3,0,0,45960,,,45960,R$0.08,R$0.00,R$0.00,R$0.00,7.52%,0.00%,0,0,
Gustavo Paz,guupaz,São Paulo,400,1,1,0,0,31.632,,,31.632,R$0.01,R$0.00,R$0.00,R$0.00,0.85%,0.00%,0,0,
Iago lesser,iago_lesser,São Paulo,400,1,1,0,0,3.276,,,3.276,R$0.12,R$0.00,R$0.00,R$0.00,0.47%,0.00%,0,0,
Isadora Lara,iisapreto,Santo André,400,3,3,0,0,381,,,381,R$1.04,R$0.00,R$0.00,R$0.00,0.10%,0.00%,0,0,
Julia Rezende,julia.rznd,Goiás,400,3,3,0,0,7.602,,,7.602,R$0.05,R$0.00,R$0.00,R$0.00,0.77%,0.00%,0,0,
Karol Tosta,karoltosta,São Paulo,400,1,1,0,0,813,,,813,R$0.49,R$0.00,R$0.00,R$0.00,0.17%,0.00%,0,0,
Lari principe,lariprincipe,São Paulo,400,3,3,0,0,1.836,,,1.836,R$0.21,R$0.00,R$0.00,R$0.00,0.10%,0.00%,0,0,
Leo Rubens,leorubensx,São Paulo,400,1,1,0,0,6.642,,,6.642,R$0.06,R$0.00,R$0.00,R$0.00,1.40%,0.00%,0,0,
Luara Lugli,luaralugli,São Paulo,400,1,1,0,0,1.049,,,1.049,R$0.38,R$0.00,R$0.00,R$0.00,0.06%,0.00%,0,0,
Mario Henrique,mariohenrique,São Paulo,400,1,1,0,0,5.132,,,5.132,R$0.07,R$0.00,R$0.00,R$0.00,0.08%,0.00%,0,0,
Rodrigo Vaisemberg,rodrigovaisemberg,São Paulo,400,3,3,0,0,7.054,,,7.054,R$0.05,R$0.00,R$0.00,R$0.00,0.30%,0.00%,0,0,
Sabrina Iorio,iorio.sabrina,São Paulo,400,3,3,0,0,315.345,,,315.345,R$0.00,R$0.00,R$0.00,R$0.00,10.88%,0.00%,0,0,
Sergio Mota,sermota,Recife,400,1,1,0,0,117.043,,,117.043,R$0.00,R$0.00,R$0.00,R$0.00,15.49%,0.00%,0,0,
Vitoria Martins,vitoriamartinsb,São Paulo,400,3,3,0,0,3.232,,,3.232,R$0.12,R$0.00,R$0.00,R$0.00,2.69%,0.00%,0,0,
