Influencer,Username,Cidade,Investimento,Posts,Stories,Feed,Tiktok,Impressoes,Interacoes,Cliques,Video Views,CPE,CTR,CPC,CPV,Engajamento,Engajamento Tiktok,Cliques Tiktok,Impressoes Tiktok,Url Foto Perfil
Camila Zogno,camilazogno,São Paulo,1667,0,0,0,0,0,0,0,0,R$0.00,0.00%,R$0.00,R$0.00,0.00%,0.00%,0,0,
Julia Servone,juliaservone,São Paulo,1667,0,0,0,0,0,0,0,0,R$0.00,0.00%,R$0.00,R$0.00,0.00%,0.00%,0,0,
Ju Cassini,jumcassini,São Paulo,1667,1,1,0,0,28493,370,0,28493,R$0.06,0.00%,R$0.00,R$0.06,1.30%,0.00%,0,0,
Amanda Furtado,amandafurtado,são Paulo,1667,0,0,0,0,0,0,0,0,R$0.00,0.00%,R$0.00,R$0.00,0.00%,0.00%,0,0,
Camila Viseu,camiviseu,São Paulo,1667,1,1,0,0,32645,2863,0,32645,R$0.05,0.00%,R$0.00,R$0.05,8.77%,0.00%,0,0,
Cinthia Cruz,cinthiacruz_,São Paulo,1667,1,1,0,0,62780,269,0,62780,R$0.03,0.00%,R$0.00,R$0.03,0.43%,0.00%,0,0,
Felipe Pileggi,felipepileggi,São Paulo,1667,1,1,0,0,37619,1741,0,37619,R$0.04,0.00%,R$0.00,R$0.04,4.63%,0.00%,0,0,
Gabi Serranone,serranone_,São Paulo,1667,1,1,0,0,59634,9386,0,59634,R$0.02,0.00%,R$0.00,R$0.03,15.74%,0.00%,0,0,
Gabriela Araujo,gabiisteca,São Paulo,1667,1,1,0,0,42735,1905,0,42735,R$0.04,0.00%,R$0.00,R$0.04,4.46%,0.00%,0,0,
Gabrielly Gonzalez,uaigabrielly,São Paulo,1667,1,1,0,0,289290,45534,0,289290,R$0.01,0.00%,R$0.00,R$0.01,"15,88%",0.00%,0,0,
Luiza Carvalho,luizagcarvalho,São Paulo,1667,1,1,0,0,21335,829,0,21335,R$0.08,0.00%,R$0.00,R$0.08,3.89%,0.00%,0,0,
Maria Eugenia,magecampos,São Paulo,1667,1,1,0,0,5907,130,0,5907,R$0.28,0.00%,R$0.00,R$0.28,2.21%,0.00%,0,0,
Vee Castro,vidcg,São Paulo,1667,1,1,0,0,540,2,0,540,R$3.08,0.00%,R$0.00,R$3.09,0.02%,0.00%,0,0,
Yogo Costa,costa.yogo,São Paulo,1667,1,1,0,0,26119,611,0,26119,R$0.06,0.00%,R$0.00,R$0.06,2.34%,0.00%,0,0,
E ai Bora?,eai.bora_,São Paulo,1667,1,1,0,0,10389,450,0,10389,R$0.15,0.00%,R$0.00,R$0.16,4.34%,0.00%,0,0,
Bruna Carvalho,bruna16,São Paulo,1667,0,0,0,0,0,0,0,0,R$0.00,0.00%,R$0.00,R$0.00,0.00%,0.00%,0,0,
Olga,itsolgamusic,São Paulo,1667,0,0,0,0,0,0,0,0,R$0.00,0.00%,R$0.00,R$0.00,0.00%,0.00%,0,0,
Yasmin Akutsu,yaakutsu,São Paulo,1667,0,0,0,0,0,0,0,0,R$0.00,0.00%,R$0.00,R$0.00,0.00%,0.00%,0,0,
Leo,bomdialeo,São Paulo,1667,0,0,0,0,0,0,0,0,R$0.00,0.00%,R$0.00,R$0.00,0.00%,0.00%,0,0,
Paola Cassano,paolacassano_,São Paulo,1667,1,1,0,0,5374,103,0,5374,R$0.30,0.00%,R$0.00,R$0.31,1.93%,,,,
Merach,camilomerachi,São Paulo,1667,0,0,0,0,0,0,0,0,R$0.00,0.00%,R$0.00,R$0.00,0.00%,,,,
Felipe Martins,femartinssa,São Paulo,1667,0,0,0,0,0,0,0,0,R$0.00,0.00%,R$0.00,R$0.00,0.00%,,,,
Paulo Gomez,paulogomiz,são Paulo,1667,1,1,0,0,8970,98,0,8970,R$0.18,0.00%,R$0.00,R$0.19,1.10%,,,,
Brenda Bernardo,_brebernardo,são Paulo,1667,1,1,0,0,13928,310,0,13928,R$0.12,0.00%,R$0.00,R$0.12,2.23%,,,,
Vitinho,tivitinhoo,São Paulo,1667,0,0,0,0,0,0,0,0,R$0.00,0.00%,R$0.00,R$0.00,0.00%,,,,
Nicholas Torres,nicholas_torres,São Paulo,1667,1,1,0,0,56062,969,0,56062,R$0.03,0.00%,R$0.00,R$0.03,1.73%,,,,
Felipe Cavalcante,filipecavalcantecanteador,são Paulo,1667,0,0,0,0,0,0,0,0,R$0.00,0.00%,R$0.00,R$0.00,0.00%,,,,
Ana Paula Souza ,anapaulasouza03,são Paulo,1665,0,0,0,0,0,0,0,0,R$0.00,0.00%,R$0.00,R$0.00,0.00%,,,,
Ju Rezende,jurezende,São Paulo,1665,0,0,0,0,0,0,0,0,R$0.00,0.00%,R$0.00,R$0.00,0.00%,,,,
Vinicius Mendes,vini07,São Paulo,1665,1,1,0,0,20234,1284,0,20234,R$0.08,0.00%,R$0.00,R$0.08,6.35%,,,,
