Influencer,Username,Cidade,Investimento,Posts,Stories,Feed,Tiktok,Impressoes,Interacoes,Cliques,Video Views,CPE,CTR ( CLIQUES / IMPRESSÕES),CPC,CPV,Engajamento,Engajamento Tiktok,Cliques Tiktok,Impressoes Tiktok,Url Foto Perfil
Adalto Jr,adaltojr,São Paulo ,"266,667",4,4,0,0,324000,0,0,3369,R$0.00,R$0.00,R$0.00,R$0.00,0.26%,0.00%,0,0,
Amanda Ferreira,amandaferreira0,São Paulo,"266,667",0,0,0,0,1600000,0,0,0,R$0.00,R$0.00,R$0.00,R$0.00,3.20%,0.00%,0,0,
Ana Maria Garcia,anamariagw,São Paulo,"266,667",0,0,0,0,37000,0,0,0,R$0.00,R$0.00,R$0.00,R$0.00,3.65%,0.00%,0,0,
Andressa Alves,eudessaalves,São Paulo,"266,667",8,8,0,0,110000,0,0,1408,R$0.00,R$0.00,R$0.00,R$0.00,0.16%,0.00%,0,0,
Aya,aya.aaaaaaaaaaaa,São Paulo,"266,667",2,2,0,0,14000,0,0,730,R$0.00,R$0.00,R$0.00,R$0.00,2.61%,0.00%,0,0,
Camila Serakides,camilamissfit,São Paulo,"266,667",1,1,0,0,39200,0,0,604,R$0.00,R$0.00,R$0.00,R$0.00,1.54%,0.00%,0,0,
Camillo Merachi,camillomerachi,São Paulo,"266,667",0,0,0,0,110000,0,0,0,R$0.00,R$0.00,R$0.00,R$0.00,1.47%,0.00%,0,0,
Carol Granstorm,carolgranstrom,São Paulo,"266,667",3,3,0,0,88500,0,0,1700,R$0.00,R$0.00,R$0.00,R$0.00,0.64%,0.00%,0,0,
Danilo Severo,daniloseveroo,São Paulo,"266,667",4,4,0,0,17000,0,0,585,R$0.00,R$0.00,R$0.00,R$0.00,0.86%,0.00%,0,0,
Douglas Severo,douglasevero,São Paulo,"266,667",2,2,0,0,14900,0,0,304,R$0.00,R$0.00,R$0.00,R$0.00,1.02%,0.00%,0,0,
Fe Pastore,fepastore,São Paulo,"266,667",2,2,0,0,15000,0,0,1209,R$0.00,R$0.00,R$0.00,R$0.00,4.03%,0.00%,0,0,
Gabi Augusto,gabiaugusto,São Paulo,"266,667",1,1,0,0,60900,0,0,1528,R$0.00,R$0.00,R$0.00,R$0.00,2.51%,0.00%,0,0,
Gabi moretti,gabirmoretti,São Paulo,"266,667",3,3,0,0,334000,0,0,17434,R$0.00,R$0.00,R$0.00,R$0.00,1.74%,0.00%,0,0,
Gabi Oliveira,gabioliveirai,São Paulo,"266,667",0,0,0,0,460000,0,0,0,R$0.00,R$0.00,R$0.00,R$0.00,2.62%,0.00%,0,0,
Gabriel DeLucca,bieldelucca,São Paulo,"266,667",0,0,0,0,44000,0,0,0,R$0.00,R$0.00,R$0.00,R$0.00,1.02%,0.00%,0,0,
Gregory Kessey,gregorykessey,São Paulo,"266,667",0,0,0,0,5000000,0,0,0,R$0.00,R$0.00,R$0.00,R$0.00,4.17%,0.00%,0,0,
Gabriele Menezes,gabimenezes,São Paulo,"266,667",0,0,0,0,28100,0,0,0,R$0.00,R$0.00,R$0.00,R$0.00,1.84%,0.00%,0,0,
Gui Barca,guibarca,São Paulo,"266,667",1,1,0,0,15000,0,0,144,R$0.00,R$0.00,R$0.00,R$0.00,0.96%,0.00%,0,0,
Gui Franciscon,guifranciscon,São Paulo,"266,667",1,1,0,0,191000,0,0,210,R$0.00,R$0.00,R$0.00,R$0.00,0.11%,0.00%,0,0,
Ingrid Adely,ingridadely,São Paulo,"266,667",0,0,0,0,30000,0,0,0,R$0.00,R$0.00,R$0.00,R$0.00,0.32%,0.00%,0,0,
Isa Prezotto,isaprezotto,São Paulo,"266,667",0,0,0,0,75000,0,0,0,R$0.00,R$0.00,R$0.00,R$0.00,0.98%,0.00%,0,0,
Jéssica Marisol,jessicamarisoll,São Paulo,"266,667",9,9,0,0,122000,0,0,1207,R$0.00,R$0.00,R$0.00,R$0.00,0.11%,0.00%,0,0,
Joãozinho,ujoaozinho,São Paulo,"266,667",1,1,0,0,5000000,0,0,225500,R$0.00,R$0.00,R$0.00,R$0.00,4.51%,0.00%,0,0,
Juliano Fortini,julianofortini,São Paulo,"266,667",2,2,0,0,22000,0,0,774,R$0.00,R$0.00,R$0.00,R$0.00,1.76%,0.00%,0,0,
Kalfani,djkalfani,São Paulo,"266,667",3,3,0,0,144000,0,0,3801,R$0.00,R$0.00,R$0.00,R$0.00,0.88%,0.00%,0,0,
Lala,olalaista,São Paulo,"266,667",0,0,0,0,121000,0,0,0,R$0.00,R$0.00,R$0.00,R$0.00,2.30%,0.00%,0,0,
Laly Scalada,lalyscalada,São Paulo,"266,667",2,2,0,0,41900,0,0,1743,R$0.00,R$0.00,R$0.00,R$0.00,2.08%,0.00%,0,0,
Léo Belmonte,leo_belmonte,São Paulo,"266,667",2,2,0,0,2100000,0,0,167160,R$0.00,R$0.00,R$0.00,R$0.00,3.98%,0.00%,0,0,
Leticia Espir,letespir,São Paulo,"266,667",0,0,0,0,125000,0,0,0,R$0.00,R$0.00,R$0.00,R$0.00,8.24%,0.00%,0,0,
Luana Zapater,dra.luanazapater,São Paulo,"266,667",1,1,0,0,94100,0,0,1740,R$0.00,R$0.00,R$0.00,R$0.00,1.85%,0.00%,0,0,
Luiza Carvalho,luizagcarvlho,São Paulo,"266,667",1,1,0,0,301000,0,0,10775,R$0.00,R$0.00,R$0.00,R$0.00,3.58%,0.00%,0,0,
Lyus,djlyus,São Paulo,"266,667",1,1,0,0,189000,0,0,1776,R$0.00,R$0.00,R$0.00,R$0.00,0.94%,0.00%,0,0,
Maddu Cabral,madducabrall,São Paulo,"266,667",0,0,0,0,120000,0,0,0,R$0.00,R$0.00,R$0.00,R$0.00,1.14%,0.00%,0,0,
Maria Laura,marialauraphg,São Paulo,"266,667",3,3,0,0,39500,0,0,758,R$0.00,R$0.00,R$0.00,R$0.00,0.64%,0.00%,0,0,
Maria Venture,mariaventure,São Paulo,"266,667",0,0,0,0,6000000,0,0,0,R$0.00,R$0.00,R$0.00,R$0.00,0.36%,0.00%,0,0,
Mariana Mendes,marianamendes.m,São Paulo,"266,667",7,7,0,0,152000,0,0,29579,R$0.00,R$0.00,R$0.00,R$0.00,2.78%,0.00%,0,0,
Marina Sampaio,mamsampaio,São Paulo,"266,667",5,4,1,0,82600,0,0,4708,R$0.00,R$0.00,R$0.00,R$0.00,1.14%,0.00%,0,0,
Murilo Cecilio,dr.murilocecilio,São Paulo,"266,667",5,5,0,0,210000,0,0,5670,R$0.00,R$0.00,R$0.00,R$0.00,0.54%,0.00%,0,0,
