Influencer,Username,Cidade,Investimento,Posts,Stories,Feed,Tiktok,Impressoes,Interacoes,Cliques,Video Views,CPE,CTR,CPC,CPV,Engajamento,Engajamento Tiktok,Cliques Tiktok,Impressoes Tiktok,Url Foto Perfil
Renan Keller,renankeller,Rio de Janeiro,1000,8,8,1850,1850,13123,9000,758,"R$131.233,00","R$0,10","0,29%","R$20,98","R$0,10","0,29%",5456,5456,"0,29%",https://framerusercontent.com/images/GaBKmgkgHuT5vTr7Z86TCgYV5I.jpeg
Joãozinho,j0a0zinh0,São Paulo,1000,0,0,0,0,0,0,0,"R$0,00","R$0,00","0,00%","R$0,00","R$0,00","0,00%",0,0,"0,00%",
Qual Rolê | Uberlândia,qualroleudi,Uberlândia,1000,0,0,0,0,0,0,0,"R$0,00","R$0,00","0,00%","R$0,00","R$0,00","0,00%",0,0,"0,00%",
Janelas de Ouro Preto,janelasdeouropreto,Ouro Preto,1000,0,0,0,0,0,0,0,"R$0,00","R$0,00","0,00%","R$0,00","R$0,00","0,00%",0,0,"0,00%",
Helo Teixeira,heloteixeira,Arraial do Cabo,1000,1,1,1850,1850,13123,33344,111,"R$5.456,00","R$0,11","2,49%","R$4,50","R$0,02","2,49%",5456,5456,"2,49%",https://framerusercontent.com/images/GTHfnCc2sGr5X75FqPwnqKYcGmE.jpeg
Julia Zaneti,juliazaneti,Ribeirão,1000,7,7,1850,1850,13123,123123,52,"R$5.456,00","R$0,10","2,49%","R$19,08","R$0,10","2,49%",5456,5456,"2,49%",https://framerusercontent.com/images/VsNjCLWlyUFXxPd2a0ZRbFA3s0.jpeg
Dicas São Sebastião,saosebastiao.sp,São Sebastião,1000,0,0,0,0,0,0,0,"R$0,00","R$0,00","0,00%","R$0,00","R$0,00","0,00%",0,0,"0,00%",
Cola em Sampa,colaemsampa,São Paulo,1000,1,1,1850,1850,13123,12312,30,"R$1.854,00","R$0,06","1,62%","R$3,81","R$0,06","1,62%",5456,5456,"1,62%",https://framerusercontent.com/images/swF22rjhHyC3v1z9KPVJ9tq4uo0.jpeg
Cola em Sampa,colaemsampa,São Paulo,1000,1,1,1850,1850,13123,5456,30,"R$1.854,00","R$0,06","1,62%","R$3,81","R$0,06","1,62%",5456,5456,"1,62%",https://framerusercontent.com/images/GaBKmgkgHuT5vTr7Z86TCgYV5I.jpeg
Cola em Sampa,colaemsampa,São Paulo,1000,1,1,1850,1850,13123,66756,30,"R$1.854,00","R$0,06","1,62%","R$3,81","R$0,06","1,62%",5456,5456,"1,62%",https://framerusercontent.com/images/J2srQWQI7peCNhvSCZQ1VmDjOQ.webp
Cola em Sampa,colaemsampa,São Paulo,1000,1,1,1850,1850,13123,56756,30,"R$1.854,00","R$0,06","1,62%","R$3,81","R$0,06","1,62%",5456,5456,"1,62%",https://framerusercontent.com/images/7rCqtefEhPgQkYFTOaYaWYRE.jpeg
Cola em Sampa,colaemsampa,São Paulo,1000,1,1,1850,1850,13123,55555,30,"R$1.854,00","R$0,06","1,62%","R$3,81","R$0,06","1,62%",5456,5456,"1,62%",https://framerusercontent.com/images/YRZcGhRVgjTtqYtwabMv1bSI.jpeg
Cola em Sampa,colaemsampa,São Paulo,1000,1,1,1850,1850,13123,443332,30,"R$1.854,00","R$0,06","1,62%","R$3,81","R$0,06","1,62%",5456,5456,"1,62%",https://framerusercontent.com/images/GTHfnCc2sGr5X75FqPwnqKYcGmE.jpeg
Cola em Sampa,colaemsampa,São Paulo,1000,1,1,1850,1850,13123,443332,30,"R$1.854,00","R$0,06","1,62%","R$3,81","R$0,06","1,62%",5456,5456,"1,62%",https://framerusercontent.com/images/VsNjCLWlyUFXxPd2a0ZRbFA3s0.jpeg
Cola em Sampa,colaemsampa,São Paulo,1000,1,1,1850,1850,13123,443332,30,"R$1.854,00","R$0,06","1,62%","R$3,81","R$0,06","1,62%",5456,5456,"1,62%",https://framerusercontent.com/images/ozctc2CN225OrSxtXKDHEdoAo.jpeg
,,,15000,,,,,,,,,,,,,,,,,
