Influencer,Username,Cidade,Investimento,Posts,Stories,Feed,Tiktok,Impressoes,Interacoes,Cliques,Video Views,CPE,CTR,CPC,CPV,Engajamento,Engajamento Tiktok,Cliques Tiktok,Impressoes Tiktok,Url Foto Perfil
Felipe Andreoli 09/09/2023 - Stories,andreofelipe,São Paulo,1300,1,1,0,0,12122,30,0,12541,R$0.11,0.00%,R$0.00,R$0.11,0.25%,0.00%,0,0,
Felipe Andreoli 09/09/2023 - Stories,andreofelipe,São Paulo,1300,1,1,0,0,11601,74,0,12003,R$0.11,0.00%,R$0.00,R$0.11,0.64%,0.00%,0,0,
Felipe Andreoli 09/09/2023 - Stories,andreofelipe,São Paulo,1300,1,1,0,0,11753,30,0,12107,R$0.11,0.00%,R$0.00,R$0.11,0.26%,0.00%,0,0,
Felipe Andreoli 09/09/2023 - Stories,andreofelipe,São Paulo,1300,1,1,0,0,11508,4,0,11752,R$0.11,0.00%,R$0.00,R$0.11,0.03%,0.00%,0,0,
Felipe Andreoli 09/09/2023 - Stories,andreofelipe,São Paulo,1300,1,1,0,0,11214,8,0,11515,R$0.12,0.00%,R$0.00,R$0.12,0.07%,0.00%,0,0,
Rafa Brites 09/09/2023 - Stories,rafabrites,São Paulo,1300,1,1,0,0,25271,61,0,25546,R$0.05,0.00%,R$0.00,R$0.05,0.24%,0.00%,0,0,
Rafa Brites 09/09/2023 - Stories,rafabrites,São Paulo,1300,1,1,0,0,24557,108,0,24735,R$0.05,0.00%,R$0.00,R$0.05,0.44%,0.00%,0,0,
Rafa Brites 09/09/2023 - Stories,rafabrites,São Paulo,1300,1,1,0,0,23938,9,0,24024,R$0.05,0.00%,R$0.00,R$0.05,0.04%,0.00%,0,0,
Rafa Brites 09/09/2023 - Stories,rafabrites,São Paulo,1300,1,1,0,0,21931,32,0,22293,R$0.06,0.00%,R$0.00,R$0.06,0.13%,0.00%,0,0,
Rafa Brites 09/09/2023 - Stories,rafabrites,São Paulo,1300,1,1,0,0,21497,11,0,21871,R$0.06,0.00%,R$0.00,R$0.06,0.05%,0.00%,0,0,
Rafa Brites 09/09/2023 - Stories,rafabrites,São Paulo,1300,1,1,0,0,20875,30,0,21336,R$0.06,0.00%,R$0.00,R$0.06,0.14%,0.00%,0,0,
Rafa Brites 09/09/2023 - Stories,rafabrites,São Paulo,1300,1,1,0,0,27199,16,0,27825,R$0.05,0.00%,R$0.00,R$0.05,0.06%,0.00%,0,0,
Felipe Andreoli 11/10/2023 - Stories,andreofelipe,São Paulo,1300,1,1,0,0,11788,105,0,12002,R$0.11,0.00%,R$0.00,R$0.11,0.89%,0.00%,0,0,
Felipe Andreoli 11/10/2023 - Stories,andreofelipe,São Paulo,1300,1,1,0,0,11674,43,0,12065,R$0.11,0.00%,R$0.00,R$0.11,0.37%,0.00%,0,0,
Felipe Andreoli 11/10/2023 - Stories,andreofelipe,São Paulo,1300,1,1,0,0,8174,41,0,8174,R$0.16,0.00%,R$0.00,R$0.16,0.50%,0.00%,0,0,
Felipe Andreoli 11/10/2023 - Reels,andreofelipe,São Paulo,23333,1,0,1,0,13993,493,0,15033,R$1.61,0.00%,R$0.00,R$1.67,3.52%,0.00%,0,0,
Felipe Andreoli 26/12/2023 - Stories,andreofelipe,São Paulo,1300,1,1,0,0,8174,104,0,8749,R$0.16,0.00%,R$0.00,R$0.16,1.27%,0.00%,0,0,
Felipe Andreoli 26/12/2023 - Reels,andreofelipe,São Paulo,23333,1,0,1,0,12992,256,0,15134,R$1.76,0.00%,R$0.00,R$1.80,1.97%,0.00%,0,0,
Rafa Brites 23/01/2024 - Stories,rafabrites,São Paulo,1300,1,1,0,0,11502,109,0,11700,R$0.11,0.00%,R$0.00,R$0.11,0.95%,0.00%,0,0,
Rafa Brites 06/02/2024 - Stories,rafabrites,São Paulo,1300,1,1,0,0,30397,205,0,30545,R$0.04,0.00%,R$0.00,R$0.04,0.67%,0.00%,0,0,
