Influencer,Username,Cidade,Investimento,Posts,Stories,Feed,Tiktok,Impressoes,Interacoes,Cliques,Video Views,CPE,CTR,CPC,CPV,Engajamento,Engajamento Tiktok,Cliques Tiktok,Impressoes Tiktok,Url Foto Perfil
Louise Estaniecki,louestaniecki,São Paulo,1200,4,4,0,0,189312,2452,358,189312,R$ 0.01,1.30%,R$ 2.25,R$ 0.01,1.30%,0.00%,0,0,
Ju Trevisol,juliannetrevisol,São Paulo,1200,3,3,0,0,33331,4100,374,33331,R$ 0.03,1.12%,R$ 0.34,R$ 0.03,12.30%,0.00%,0,0,
Gio Serrano,gioserrano,São Paulo,1200,5,5,0,0,41707,500,87,41707,R$ 0.03,1.20%,R$ 0.46,R$ 0.03,1.20%,0.00%,0,0,
Thailyse Pivatto,thaylisepivato,São Paulo,1200,2,1,1,0,40761,1695,32,41821,R$ 0.03,0.08%,R$ 0.03,R$ 0.03,4.16%,0.00%,0,0,
João Almeida,joaoalmeidac,São Paulo,1200,5,4,1,0,64942,1833,492,77966,R$ 0.02,0.02%,R$ 0.01,R$ 0.02,2.82%,0.00%,0,0,
Giovanna Ferrarezi,giovannaferrarezi,São Paulo,0,0,0,0,0,0,0,0,0,R$ 0.00,0.00%,R$ 0.00,R$ 0.00,0.00%,0.00%,0,0,
Maju Mazalli,majumazalli,São Paulo,1200,4,3,1,0,91864,2142,629,96508,R$ 0.01,0.68%,R$ 0.58,R$ 0.01,2.33%,0.00%,0,0,
Carol marafiga,caro.marafiga,São Paulo,1200,1,0,1,0,42367,2766,0,71029,R$ 0.03,0.00%,R$ 0.00,R$ 0.03,6.53%,0.00%,0,0,
Gabi Melim,gabimelim,São Paulo,0,0,0,0,0,0,0,0,0,R$ 0.00,0.00%,R$ 0.00,R$ 0.00,0.00%,0.00%,0,0,
Renan Keller,renankeller,São Paulo,1200,5,3,1,1,377555,40143,91,373710,R$ 0.00,0.02%,R$ 0.08,R$ 0.00,10.63%,8.46%,20129,238038,
