Influencer,Username,Cidade,Investimento,Posts,Stories,Feed,Tiktok,Impressoes,Interacoes,Cliques,Video Views,CPE,CTR,CPC,CPV,Engajamento,Engajamento Tiktok,Cliques Tiktok,Impressoes Tiktok,Url Foto Perfil
Louise Estaniecki,louestaniecki,São Paulo,1200,8,7,1,0,240239,3510,408,264987,R$0.00,0.17%,R$2.94,R$0.00,1.46%,0.00%,0,0,
Ju Trevisol,juliannetrevisol,São Paulo,1200,7,6,1,0,143917,15047,374,160205,R$0.01,0.26%,R$3.21,R$0.01,10.46%,0.00%,0,0,
Gio Serrano,gioserrano,São Paulo,1200,6,5,1,0,61274,2112,87,77588,R$0.02,0.14%,R$13.79,R$0.02,3.45%,0.00%,0,0,
Thailyse Pivatto,thaylisepivato,São Paulo,1200,7,6,1,0,45320,2024,359,63498,R$0.03,0.79%,R$3.34,R$0.03,4.47%,0.00%,0,0,
João Almeida,joaoalmeidac,São Paulo,1200,5,4,1,0,64942,1833,492,77966,R$0.02,0.76%,R$2.44,R$0.02,2.82%,0.00%,0,0,
Giovanna Ferrarezi,giovannaferrarezi,São Paulo,1200,5,4,1,0,91607,6387,1464,110665,R$0.01,1.60%,R$0.82,R$0.01,6.97%,0.00%,0,0,
Maju Mazalli,majumazalli,São Paulo,1200,4,3,1,0,91864,2142,629,96508,R$0.01,0.68%,R$1.91,R$0.01,2.33%,0.00%,0,0,
Carol marafiga,caro.marafiga,São Paulo,1200,1,0,1,0,42367,2766,0,71029,R$0.03,0.00%,R$0.00,R$0.03,6.53%,0.00%,0,0,
Gabi Melim,gabimelim,São Paulo,1200,3,2,1,0,124043,15091,324,129351,R$0.01,0.26%,R$3.70,R$0.01,12.17%,0.00%,0,0,
Renan Keller,renankeller,São Paulo,1200,5,3,1,1,377555,40143,91,373710,R$0.00,0.02%,R$13.19,R$0.00,10.63%,8.46%,20129,238038,
