Influencer,Username,Cidade,Investimento,Posts,Stories,Feed,Tiktok,Impressoes,Interacoes,Cliques,Video Views,CPE,CTR,CPC,CPV,Engajamento,Engajamento Tiktok,Cliques Tiktok,Impressoes Tiktok,Url Foto Perfil
Marcelo Mello,marcellomelojr,São Paulo,0,0,0,0,0,0,0,0,0,R$0.00,0.00%,R$0.00,R$0.00,0.00%,0.00%,0,0,
Fernandinho Beatbox,bbxfernandinho,São Paulo,0,18,17,1,0,23351,969,0,23351,R$0.00,0.00%,R$0.00,R$0.00,6.47%,0.00%,0,0,
Bibi Tatto,bibitatto,São Paulo,0,4,3,0,1,240767,5337,177,235811,R$0.00,0.07%,R$0.00,R$0.00,3.50%,13.67%,0,37468,
Kauana Hofema,kauhofem,São Paulo,0,1,0,1,0,143544,31389,323,0,R$0.00,0.00%,R$0.00,R$0.00,0.00%,0.00%,0,0,
Duda Kropf,dudakropf,São Paulo,0,1,0,0,1,11575,880,0,20000,R$0.00,0.00%,R$0.00,R$0.00,7.60%,7.60%,0,0,
Bruno Magri,brunomagri,São Paulo,0,4,3,0,1,14366,103,10,14366,R$0.00,0.07%,R$0.00,R$0.00,1.97%,7.60%,0,0,
Gabrielle Stacenco,gabistacenco,São Paulo,0,0,0,0,0,0,0,0,0,R$0.00,0.00%,R$0.00,R$0.00,0.00%,0.00%,0,0,
Gustavo Paz,guupaz,São Paulo,0,2,2,0,0,22830,70,47,22830,R$0.00,0.00%,R$0.00,R$0.00,0.00%,0.00%,0,0,
Camila Loures,camilaloures,São Paulo,35000,4,3,1,0,1123691,23714,163,1152963,R$0.03,0.02%,R$94.47,R$0.03,1.67%,0.00%,0,0,
Caio Castro,caiocastro,São Paulo,54000,3,2,1,0,1211965,3600,0,1211965,R$0.23,0.00%,R$0.00,R$0.23,0.12%,0.00%,0,0,
João Guilherme,joaoguilherme,São Paulo,55000,5,4,1,0,812558,12045,0,812558,R$0.07,0.00%,R$0.00,R$0.07,1.48%,0.00%,0,0,
Criolo,criolomc,São Paulo,188000,12,10,2,0,192198,4511,67,192722,R$0.71,0.03%,"R$1,800.00",R$0.75,4.25%,0.00%,0,0,
Vanessa Lopes,vanessalopesr_,São Paulo,9000,1,0,1,0,102918,5754,0,114645,R$0.08,0.00%,R$0.00,R$0.09,5.59%,0.00%,0,0,
Rafa Brites,rafabrites,São Paulo,48000,10,9,1,0,10768786,2242,129,10771296,R$0.00,0.00%,R$372.09,R$0.00,0.02%,0.00%,0,0,
Felipe Andreoli,andreolifelipe,São Paulo,30000,10,8,2,0,131953,1404,117,127144,R$0.22,0.09%,R$256.41,R$0.23,1.06%,0.00%,0,0,
Fabio Porchat,fabioporchat,Rio de Janeiro,0,1,0,1,0,4718864,1667,0,4718864,R$0.00,0.00%,R$0.00,R$0.00,0.04%,0.00%,0,0,
