Influencer,Username,Cidade,Investimento,Posts,Stories,Feed,Tiktok,Impressoes,Interacoes,Cliques,Video Views,CPE,CTR,CPC,CPV,Engajamento,Engajamento Tiktok,Cliques Tiktok,Impressoes Tiktok,Url Foto Perfil
Louise Estaniecki,louestaniecki,São Paulo,1200,4,4,0,0,72267,468,63,72267,R$0.02,0.09%,R$19.05,R$0.02,0.65%,0.00%,0,0,
Thailyse Pivatto,thaylisepivato,São Paulo,1200,3,0,3,0,81299,3564,0,126835,R$0.01,0.00%,R$0.00,R$0.01,4.38%,0.00%,0,0,
João Almeida,joaoalmeidac,São Paulo,1200,4,3,1,0,60627,1118,0,67296,R$0.02,0.00%,R$0.00,R$0.02,1.84%,0.00%,0,0,
Giovanna Ferrarezi,giovannaferrarezi,São Paulo,1200,4,4,0,0,36665,568,0,36775,R$0.03,0.00%,R$0.00,R$0.03,1.55%,0.00%,0,0,
Maju Mazalli,majumazalli,São Paulo,1200,1,0,1,0,162640,3566,0,218158,R$0.01,0.00%,R$0.00,R$0.01,2.19%,0.00%,0,0,
Gabi Melim,gabimelim,São Paulo,1200,3,3,0,0,40629,1175,91,39564,R$0.03,0.22%,R$13.19,R$0.03,2.89%,0.00%,0,0,
Renan Keller,renankeller,São Paulo,1200,4,3,1,0,91827,4990,0,86370,R$0.01,0.00%,R$0.00,R$0.01,5.43%,0.00%,0,0,
Gabriel Peixinho,peixinh0,São Paulo,1200,4,4,0,0,93546,2470,0,93433,R$0.01,0.00%,R$0.00,R$0.01,2.64%,0.00%,0,0,
Karine,karinecarrijo_,São Paulo,1200,1,0,1,0,234819,5784,0,421819,R$0.00,0.00%,R$0.00,R$0.01,2.46%,0.00%,0,0,
Lu Ferreira,lutsferreira,São Paulo,1200,4,4,0,0,148354,658,203,146520,R$0.01,0.14%,R$5.91,R$0.01,0.44%,0.00%,0,0,
